"osm_id","name","lat","lon","category","type","accessible"
55211772,"Hilton Helsinki Strand Hotel",60.1771346,24.9515935,"accommodation","hotel","yes"
249350774,"",60.1694715,24.9330726,"public_transfer","subway_entrance","yes"
249350785,"Kamppi, kaukoliikenne",60.1695862,24.9333753,"public_transfer","bus_station","yes"
264136678,"K-Supermarket Kamppi",60.1694465,24.932871,"shopping","supermarket","yes"
60067916,"Neste",60.1605736,24.9296765,"public_transfer","fuel","yes"
68748406,"Cafe Compass",60.1551799,24.9516136,"food","cafe","yes"
282222459,"Neste Express",60.1630851,24.945209,"public_transfer","fuel","yes"
177934965,"Kaisaniemi",60.1716923,24.9473973,"public_transfer","tram_stop","yes"
189430870,"Helsingin yliopisto",60.17131,24.9475197,"public_transfer","subway_entrance","yes"
277401520,"Eliel",60.1719035,24.9391587,"public_transfer","parking","yes"
282422772,"Kaisaniemen kesäkioski",60.1756658,24.9499431,"shopping","kiosk","yes"
282612359,"Leonardo",60.1701475,24.9417929,"food","restaurant","yes"
281704528,"R-Kioski",60.1683353,24.9298477,"shopping","kiosk","yes"
267721494,"",60.162118,24.9338737,"misc","toilets","yes"
150541320,"Sanomakahvila",60.1725449,24.937381,"food","cafe","yes"
150541351,"Red Apple",60.1723942,24.9376545,"food","restaurant","yes"
248327691,"Eduskunnan kirjasto",60.1725576,24.9315669,"education","library","yes"
249350471,"R-Kioski Sanomatalo",60.1721939,24.9383393,"shopping","kiosk","yes"
229174383,"Chaplin",60.167064,24.9421254,"food","pub","yes"
256195823,"Old Hat",60.169361,24.9408399,"food","pub","yes"
256198895,"Zara",60.1688953,24.9420476,"shopping","clothes","yes"
256199043,"Hard Rock Cafe",60.1689067,24.9414031,"food","restaurant","yes"
256200068,"Vanha",60.1689491,24.9406594,"food","cafe","yes"
256257172,"Gina Tricot",60.1685307,24.9399072,"shopping","clothes","yes"
256257173,"Stadium",60.1682889,24.9402878,"shopping","sports","yes"
256257994,"Seppälä",60.169346,24.9384844,"shopping","clothes","yes"
281704907,"Makuuni",60.1696151,24.9291719,"shopping","video","yes"
76615072,"Helkan Baari",60.169785,24.9271007,"food","bar","yes"
56431331,"Pääposti",60.1716375,24.9385734,"money_post","post_office","yes"
56431685,"Holiday Inn",60.1723333,24.9396219,"accommodation","hotel","yes"
60068033,"Vltava",60.1714104,24.9395931,"food","pub","yes"
60068034,"Ooster",60.1714316,24.9405765,"food","pub","yes"
60069304,"Elielinaukio",60.1718333,24.9396636,"public_transfer","bus_station","yes"
62967659,"Pääposti",60.1713362,24.9376471,"food","restaurant","yes"
189437356,"Rautatientori",60.1706922,24.9402512,"public_transfer","subway_entrance","yes"
288130404,"S-Market",60.1706546,24.9386883,"shopping","supermarket","yes"
146456045,"Ruoholahden metrokioski",60.1629399,24.9143769,"shopping","kiosk","yes"
146457053,"",60.1629885,24.9146717,"misc","toilets","yes"
146467364,"Dacca",60.1625752,24.9138908,"food","restaurant","yes"
146504492,"S-Market",60.1638301,24.9135789,"shopping","supermarket","yes"
146506044,"McDonald's",60.1631156,24.9150873,"food","fast_food","yes"
146489323,"Kahvila kioski Merikaapeli",60.1629349,24.9061837,"food","cafe","yes"
60062308,"Rotterdam",60.1690717,24.9324135,"food","pub","yes"
60062438,"Mbar",60.1706603,24.9360765,"food","bar","yes"
60133671,"Lönnrot",60.1667849,24.9387924,"tourism","memorial","yes"
62965963,"Empire Plaza",60.1692923,24.9330552,"food","restaurant","yes"
59967449,"K-citymarket Helsinki Ruoholahti",60.1636089,24.9109308,"shopping","supermarket","yes"
59967450,"Ruoholahden apteekki",60.1635957,24.911573,"health","pharmacy","yes"
146502411,"OP",60.1636203,24.9119067,"money_post","bank","yes"
25502085,"Rautatieasema",60.170356,24.9412521,"public_transfer","tram_stop","yes"
1063838441,"K-Rauta Ruoholahti",60.1635069,24.9086223,"shopping","doityourself","yes"
1063856974,"K-market Ruoholahti",60.1628556,24.9145472,"shopping","convenience","yes"
