id,name,lat,lng,?column?,tipcount,checkincount,usercount,photo_count,url,tags
53678cbb11d263215d67b377,Die Kuh Die Lacht,49.4115454342514,8.70577473872957,"""Burger Joint""",15,319,236,37,http://www.diekuhdielacht.com,{}
4b19385af964a52069d923e3,Heidelberg Hauptbahnhof,49.4041318431925,8.67542266845703,"""Train Station""",37,21309,6168,281,http://www.bahnhof.de,"{booth,cafes,""central station"",coffee,photo,""photo booth"",pizza}"
4fdc93e9e4b0602ab5df079c,REWE,49.3851330400079,8.67426163235392,"""Supermarket""",0,172,32,2,http://www.rewe.de,{}
535e4316498e876ea3f8a614,China City,49.4065073938383,8.67518400340493,"""Chinese Restaurant""",2,57,26,9,,{}
4bd73360e914a59332b750fa,Motor-Yacht-Club Heidelberg,49.4109563834121,8.69026387222587,"""Harbor / Marina""",0,11,5,0,http://www.myc-heidelberg.de,{}
5236c25511d268062e90a2e1,Dr. Ball und Dr. Hild,49.3807379064848,8.67105519146529,"""Doctor's Office""",0,13,4,0,http://www.kinderaerzte-im-netz.de/aerzte/hild-ball/startseite.html,{}
5432ae00498ed5e70bca5212,Theo's 🌈,49.3947659742616,8.6897733485692,"""Student Center""",0,165,4,0,,{}
4c4b2e8e712ac92853d18d6c,Tsv Wieblingen,49.414244,8.64923,"""Bar""",0,8,8,2,,{}
533bec83498e38e5b755b270,Mr. Zhao by Sakura,49.407991,8.688763,"""Japanese Restaurant""",0,19,12,0,,{}
4d0fdcad01d5a090c87b3947,Lidl,49.377259826237,8.66482257843018,"""Supermarket""",0,85,21,1,http://www.lidl.de,{discounter}
54401d53498e78202210e098,iKOI,49.4113449883559,8.70333291933228,"""Sushi Restaurant""",7,73,54,7,http://www.ikoisushi.de,{}
4dd0cc67c65bdac7139a94d9,A.T.U Heidelberg,49.4064885170743,8.66020702968108,"""Automotive Shop""",0,48,19,0,http://www.atu.de/pages/service/filialen/f_detail.html?lkz=DE&nr=466&campaign=cooperation/foursquare,{}
4c45baaadd1f2d7fa69981f9,Deutsche Post,49.4013514839053,8.6763867224584,"""Post Office""",0,74,36,0,http://www.deutschepost.de,{}
4b910eccf964a5206da133e3,Medocs,49.410059,8.69322,"""Restaurant""",7,527,228,21,http://www.medocs-cafe.de,{}
4d440bd43616b60c8407e0c2,NORDSEE,49.4103249313745,8.69686355019033,"""Seafood Restaurant""",2,201,161,15,http://www.nordsee.com,{}
4eff1c414fc6fc240ee4da23,H Brückenstraße,49.4155103082673,8.69207382202148,"""Tram Station""",0,325,69,4,,{}
504b1832e4b084386aad609a,Kerwe Kirchheim,49.3768602753543,8.66639955737802,"""General Entertainment""",0,10,4,2,,{}
51096ac9e4b0924a5edb82c5,Europa-Bar,49.407454,8.691099,"""Hotel Bar""",0,2,2,0,,{}
4c133b0ba9c220a1d77e559d,McDonald's,49.4037967318528,8.67660284042358,"""Fast Food Restaurant""",15,1063,518,32,http://www.mcdonalds.de,"{""fast food""}"
4d56e27f611aa35d30f84639,Die Kamera,49.4154171501442,8.6922609414863,"""Indie Movie Theater""",0,53,35,3,http://www.gloria-kamera-kinos.de,{}
4c6271d2e1621b8d176f2353,Kardo Express,49.412862,8.676449,"""Middle Eastern Restaurant""",1,17,11,2,,{}
4e03a3f02271233b767ab08d,Goodfellas,49.4060865209642,8.69086786631621,"""Bar""",1,126,37,1,,{}
570bcbe1498ed4f923a68c9c,Anca's home,49.406845,8.681731,"""Residential Building (Apartment / Condo)""",0,4,1,0,,{}
4c6bb8e246353704e2bc04bc,Metzgerei Zeiss,49.4040875925256,8.64549175841446,"""Butcher""",0,28,9,1,,{}
4b4cf978f964a52038c626e3,Eppelheimer Wasserturm,49.4017092159697,8.62977147102356,"""Sculpture Garden""",0,249,19,4,,{}
52b616a1498e8a763737d1b2,Cappuccino,49.4090107192086,8.69210863542225,"""Caf\u00e9""",2,79,62,14,http://cappuccino-heidelberg.com,{}
4eec755baa1f98ce6490ad71,Mod's Hair,49.4152173176778,8.69042009515255,"""Salon / Barbershop""",0,6,5,0,,{}
5720d387498e4066cee2cc03,Tommys Frisier-Domus,49.420143,8.651598,"""Salon / Barbershop""",0,1,1,0,,{}
4b8fe099f964a520fb6633e3,Café Rossi,49.408426177552,8.69234453858154,"""Caf\u00e9""",27,1367,692,25,http://www.caferossi.de,{}
4e062787d22d6585329de8a0,Zeughaus-Mensa im Marstall,49.41255260966,8.70431583665298,"""College Cafeteria""",4,2271,587,31,http://www.studentenwerk.uni-heidelberg.de/mensen,{}
4d0d00cb903d3704133ec155,Bodega,49.377777,8.693162,"""Paella Restaurant""",0,26,21,3,,{}
4b8fe099f964a520fb6633e3,Café Rossi,49.408426177552,8.69234453858154,"""Caf\u00e9""",27,1367,692,25,http://www.caferossi.de,{}
4e86ed7f30f80c7d3c4e60ef,Konfuzius Institut Heidelberg,49.3998009259269,8.67738263806303,"""General College & University""",0,26,5,0,,{}
5231f094498e53ce04c4ccb6,Kurpfalzschule,49.3794158686492,8.66777431654848,"""General College & University""",0,81,6,9,,{}
4e33ba9ce4cdf7a42ca9fee4,Dorothea Rieth Creative Floristik,49.414345,8.689585,"""Flower Shop""",0,1,1,0,,{}
4d2e1a554377224b75a50b38,Rabe Bistro & Bar,49.3792919125317,8.69119521286313,"""Spanish Restaurant""",1,27,15,3,,{}
52a3237911d24d2c2b204ebb,Fascination Hair Style,49.377947,8.68739,"""Salon / Barbershop""",0,2,2,0,,{}
4e1af1602271aba93799ed46,VW Bernhard Nutzfahrzeuge,49.4208778962854,8.63361102169801,"""Automotive Shop""",0,5,5,0,,{}
4ca4a573d7c337047516ab62,Universitätsmuseum,49.4113501446888,8.70619297027588,"""Museum""",1,54,50,1,http://www.uni-heidelberg.de/einrichtungen/museen/universitaetsmuseum.html,{}
5527bd6d498e17c66662e947,Oh Angie!,49.38368679512,8.68596058986039,"""Bistro""",0,14,10,4,http://oh-angie.de/heidelberg,{}
4b55a06cf964a5209de927e3,McDonald's,49.3974710763201,8.68224620819092,"""Fast Food Restaurant""",2,640,178,15,http://www.mcdonalds.de,"{burger,kaffee}"
5012e251e4b0adaeb0651ad1,Mr. Wu,49.406309,8.69066,"""Chinese Restaurant""",5,69,38,3,,{}
4b9f9ed4f964a5206e2f37e3,Pizza Hut,49.3969807379357,8.68291896927355,"""Pizza Place""",4,138,79,8,http://www.pizzahut.de,{pizza}
4d4274a248cea35dc96531f7,Max Planck Institut fuer medicinische Forschung,49.4126574991578,8.67676497647766,"""University""",0,47,17,0,http://www.mpg.de/153095/medizinische_forschung,{}
4b8facd8f964a5207d5c33e3,Galeria Kaufhof,49.4097725407961,8.69633316993713,"""Department Store""",2,915,444,23,http://www.galeria-kaufhof.de,{}
4d4e5ee2a8fba1431f44431a,Vorbach Pralinen,49.4091268482116,8.69210250659003,"""Chocolate Shop""",0,3,3,0,,{}
53fb0a16498ef4999743340a,KFC Heidelberg,49.3973063105392,8.68278120378849,"""Fast Food Restaurant""",0,56,29,4,,{}
518ea9b6498eb0cdf7d42a6d,Orient Lounge Sisha Bar,49.410481,8.694645,"""Bar""",0,34,28,0,,{}
