username,tweet_id,text,created_at,lat,lon
claudiobickel98,747034975719940096,"I'm at H Jahnstraße in Heidelberg, Baden-Württemberg https://t.co/hkdo6SiW0H",2016-06-26 11:53:12,8.67658019,49.41293118
_RhysThorne,747020257622056960,I saw an ostrich yesterday for the first time and it was a pivotal moment in my life @ Zoo… https://t.co/5B9MDM0D7X,2016-06-26 10:54:43,8.6623699,49.41555
_RhysThorne,746715591885500417,When he gots da booty🐘🍑 @ Zoo Heidelberg https://t.co/xYvzXEkXPU,2016-06-25 14:44:05,8.6623699,49.41555
_RhysThorne,746714768988217348,I've never seen an ostrich in real life before so this was a pivotal moment in my life.… https://t.co/dmzP4EQaxF,2016-06-25 14:40:48,8.6623699,49.41555
Kim_182,746701134539165697,We've been to the zoo and were allowed to feed the Otter 😍😱 @ Zoo… https://t.co/ARqt8GcqGP,2016-06-25 13:46:38,8.6623699,49.41555
katie_smiley26,745994940539273220,Pretending to be a flamingo at the zoo #heidelberg  #yearabroad @… https://t.co/c4QkgyqeQD,2016-06-23 15:00:28,8.6623699,49.41555
vandclear,744832979831263232,Inspiration for the day. https://t.co/bJsksgpVZR,2016-06-20 10:03:15,8.6628714,49.4197697
ALSUBAT,744491404018221057,"I'm at Heidelberg Marriott Hotel in Heidelberg, Baden-Wurttemberg https://t.co/jEBwdZMhKU",2016-06-19 11:25:57,8.6726515,49.4092245
_andreeaghe,744206778078990336,Just posted a photo @ Café Bellini https://t.co/0L001kGFVl,2016-06-18 16:34:57,8.67114534,49.41396569
Metalkruemel,744157105742024704,"🐾 (at @ZooHeidelberg in Heidelberg, Baden-Württemberg w/ @ollitheiss) https://t.co/kUEDdpffRl https://t.co/1ikc53veaA",2016-06-18 13:17:34,8.66371325,49.41487911
claudiobickel98,747034975719940096,"I'm at H Jahnstraße in Heidelberg, Baden-Württemberg https://t.co/hkdo6SiW0H",2016-06-26 11:53:12,8.67658019,49.41293118
claudiobickel98,745573572299657216,"I'm at H Betriebshof in Heidelberg, Baden-Württemberg https://t.co/ohinY3alob",2016-06-22 11:06:06,8.675766,49.407902
jplusgo,744922421963132928,"Feierabend! (@ IG Thermalbad Heidelberg in Heidelberg, BW) https://t.co/GAeqzPPGq2",2016-06-20 15:58:40,8.68010784,49.40910969
wolfsteiner2,744602874605375492,#mud https://t.co/xrDjAABSZA,2016-06-19 18:48:54,8.67689667,49.41062167
ALSUBAT,744491404018221057,"I'm at Heidelberg Marriott Hotel in Heidelberg, Baden-Wurttemberg https://t.co/jEBwdZMhKU",2016-06-19 11:25:57,8.6726515,49.4092245
_andreeaghe,744206778078990336,Just posted a photo @ Café Bellini https://t.co/0L001kGFVl,2016-06-18 16:34:57,8.67114534,49.41396569
Nachtschicht_HD,747130195677585408,#nachtschicht #nachtschichthd #nachtschichtheidelberg #nachtschichtmodus #hdlatenight… https://t.co/hdePDgaxGd,2016-06-26 18:11:34,8.67628722,49.40707509
Nachtschicht_HD,747130047970979840,#nachtschicht #nachtschichthd #nachtschichtheidelberg #nachtschichtmodus #hdlatenight… https://t.co/4kVjevkq85,2016-06-26 18:10:59,8.67628722,49.40707509
Nachtschicht_HD,747129888088285184,#nachtschicht #nachtschichthd #nachtschichtheidelberg #nachtschichtmodus #hdlatenight… https://t.co/sqnUI6Gfr0,2016-06-26 18:10:20,8.67628722,49.40707509
claudiobickel98,747034975719940096,"I'm at H Jahnstraße in Heidelberg, Baden-Württemberg https://t.co/hkdo6SiW0H",2016-06-26 11:53:12,8.67658019,49.41293118
