"osm_id","name","lat","lon","category","type","accessible"
252640135,"Gneisenaustraße Süd",49.40661,8.667304,"public_transfer","halt","no"
270944135,"Stotz",49.4025968,8.6441002,"public_transfer","tram_stop","limited"
260807351,"Shell",49.3988716,8.6899921,"public_transfer","fuel","yes"
262579584,"McDonald's",49.3974932,8.6821302,"food","fast_food","limited"
267040589,"Rosen-Apotheke",49.4277884,8.6857649,"health","pharmacy","unknown"
267040595,"Bürgeramt",49.4274974,8.6861291,"government","townhall","limited"
267040604,"Musik- und Singschule Heidelberg",49.427511,8.6857082,"education","college","limited"
267161649,"Tiefburg",49.4276933,8.686007,"public_transfer","bus_stop","no"
267499870,"",49.4236325,8.6489134,"money_post","post_office","no"
267889543,"Alemannisch-Fränkischer Friedhof",49.4228442,8.6907479,"tourism","memorial","unknown"
268411033,"",49.4195004,8.7042268,"tourism","viewpoint","unknown"
268411034,"Heidenloch",49.4194799,8.7033812,"tourism","archaeological_site","unknown"
267766039,"Betriebshof",49.4078954,8.6759885,"public_transfer","tram_stop","limited"
267766041,"Römerkreis Süd",49.4047241,8.6846279,"public_transfer","tram_stop","limited"
267766056,"Christuskirche",49.4017503,8.6851066,"public_transfer","tram_stop","yes"
269385017,"",49.4054825,8.6765974,"money_post","post_office","yes"
269790792,"Taj Mahal",49.4081527,8.6735594,"food","restaurant","yes"
269790876,"Postbank",49.4055014,8.6766845,"money_post","atm","limited"
269902870,"Arboretum I",49.4009226,8.7100375,"tourism","attraction","unknown"
269902871,"Rhododendrenhain",49.4018722,8.7131474,"tourism","attraction","unknown"
269902998,"",49.4042825,8.682457,"public_transfer","fuel","limited"
270155240,"Sixt",49.4057157,8.6651962,"public_transfer","car_rental","unknown"
270246011,"Heidelberg Marriott Hotel",49.4091649,8.6726851,"sport","swimming_pool","yes"
270306133,"Crowne Plaza",49.4064795,8.691822,"public_transfer","parking","yes"
2599659587,"Backstube",49.4104061,8.7157086,"food","restaurant","limited"
270429893,"",49.408966,8.6724358,"public_transfer","parking","yes"
270430000,"",49.4093704,8.6694528,"public_transfer","parking","yes"
270944138,"Henkel-Teroson-Straße",49.4057016,8.6523986,"public_transfer","tram_stop","limited"
270944141,"Eisenbahner-Sportplatz",49.4061773,8.6603422,"public_transfer","tram_stop","limited"
270944143,"Czernybrücke Süd",49.4050951,8.6690351,"public_transfer","tram_stop","limited"
270051548,"SB Tankstelle",49.4034155,8.6462378,"public_transfer","fuel","no"
270051559,"Apotheke im Kaufland",49.4038019,8.6465624,"health","pharmacy","yes"
270944137,"Marktstraße",49.4037711,8.6480491,"public_transfer","tram_stop","limited"
145994074,"Hans-Thoma-Platz",49.4276956,8.6831171,"public_transfer","tram_stop","yes"
271380653,"",49.4224911,8.6767719,"public_transfer","parking","unknown"
272597912,"B2 Heidelberg",49.4040432,8.6789769,"public_transfer","parking","limited"
272598266,"",49.4027903,8.6799515,"leisure","playground","unknown"
272600186,"H + G Bank",49.4278935,8.6837354,"money_post","bank","yes"
272663873,"Hans-Thoma-Platz",49.4281154,8.6828785,"public_transfer","bus_stop","yes"
272663881,"Waldweg",49.4297762,8.6979174,"public_transfer","bus_stop","unknown"
252640130,"Taubenfeld",49.4284301,8.6427204,"public_transfer","halt","limited"
271380665,"",49.4224495,8.6747845,"public_transfer","parking","unknown"
1792575001,"Mohammad Iqbal",49.4136209,8.6962993,"tourism","memorial","unknown"
